altura,fnac,fortuna,nacionalidad,nombre,peso
[1.87],"December 4, 1969",[1400000000.0],American,Shawn Corey Carter,[87.9]
,"November 4, 1969",[825000000.0],American,Sean John Combs,[86.0]
,"February 18, 1965",[800000000.0],American,Andre Romelle Young,[108.0]
[1.79],"October 4, 1957",[340000000.0],American,Russell Wendell Simmons,[86.0]
[1.9],"April 29, 1967",[250000000.0],American,Percy Robert Miller,
[1.73],"October 14, 1978",[180000000.0],American,Usher Raymond IV,[71.0]
,"October 24, 1986",[180000000.0],Canadian,Aubrey Drake Graham,[75.5]
[1.75],"August 16, 1970",[140000000.0],India,Saif Ali Khan,[80.0]
,"February 7, 1978",[140000000.0],United States,Christopher Ashton Kutcher,
[1.91],"October 13, 1971",[130000000.0],British,Sacha Noam Baron Cohen,
[1.91],August 1983,[130000000.0],Australian,Chris Hemsworth,[100.0]
[1.81],"January 6, 1955",[150000000.0],British,Rowan Sebastian Atkinson,[82.0]
[1.79],"September 3, 1965",[125000000.0],United States,Carlos Irwin Estevez,[86.0]
[1.85],"February 21, 1955",[120000000.0],United States,Allen Kelsey Grammer,
,"May 23, 1967",[170000000.0],American,"Ronald Jay ""Slim"" Williams",
,"April 5, 1973",[150000000.0],United States,Pharrell Williams,
[1.68],"September 27, 1982",[150000000.0],American,"Dwayne Michael Carter, Jr.",[63.0]
[1.93]," October 20, 1971",[143000000.0],American,"Calvin Cordozar Broadus, Jr.",[77.0]
[1.73],"June 15, 1969",[140000000.0],American,O'Shea Jackson,
[1.8],"February 15, 1969",[110000000.0],United States,Bryan Williams,[93.0]
[1.87],"January 14, 1968",[100000000.0],American,James Todd Smith,[95.2]
[1.73],"October 17, 1972",[100000000.0],American,Marshall Bruce Mathers III,[71.6]
[1.7],"March 10, 1971",[85000000.0],American,Timothy Zachery Mosley,[91.17]
,"April 16, 1973",[80000000.0],United States,Aliaune Damala Bouga Time Bongo Puru Nacka Lu Lu Lu Badara Akon Thiam,
,"November 20, 1965",[75000000.0],American,Michael Diamond,
[1.73],"October 31, 1966",[75000000.0],American,Adam Keefe Horovitz,
[1.75]," March 15, 1975",[75000000.0],United States,"William James Adams, Jr.",[70.0]
,"December 8, 1984",[75000000.0],American,Onika Tanya Maraj,[54.0]
,"November 14, 1964",[70000000.0],American,Joseph Lloyd Simmons,
[1.85],"May 20, 1972",[65000000.0],American,"Trevor Tahiem Smith, Jr.",
[1.61]," August 16, 1958",[580000000.0],American,Madonna Louise Ciccone,[45.3]
[1.75],"March 27, 1970",[535000000.0],United States,Mariah Angela Carey,
